Complexity,Loss,Equation
1,2.390009,"-2.7731378"
3,1.9942023,"-1.5268538 - x1"
5,1.5596004,"-1.2097839 - (x1 * x2)"
7,1.1928155,"-0.80724585 - (x2 * (x1 * x0))"
9,0.87896764,"(-1.4480861 / x5) - ((x2 * x0) * x1)"
11,0.56354934,"((-2.4642081 / x4) / x3) - (x1 * (x2 * x0))"
13,0.37629288,"(x1 * ((-1.4116209 / x5) - (x0 / x3))) - (x2 / x4)"
15,0.1538282,"(x1 * ((-1.2451067 / x5) - (x0 / x3))) - (x0 * (x2 / x4))"
17,3.5124647e-14,"(x1 * ((-4.838512e-9 - (x2 / x5)) - (x0 / x3))) - (x2 * (x0 / x4))"
19,3.3583874e-14,"((((x2 / x5) / -1.0) * x1) - ((x0 * x2) / x4)) - ((x1 * x0) / x3)"
21,3.3018405e-14,"((-1.11112115e-8 - (x2 / x5)) * x1) + ((1.5194889e-8 - ((x0 / x3) * x1)) - ((x0 * x2) / x4))"
23,3.1819816e-14,"((x2 * ((x1 / (x5 * -1.0)) + -2.486556e-7)) - ((x1 * x0) / x3)) - (((x0 / x4) + -2.4404247e-7) * x2)"
25,3.1782062e-14,"(((((x1 / x5) * -1.0) + -2.486556e-7) * x2) + (-9.3829335e-9 - ((x1 * x0) / x3))) - (((x0 / x4) + -2.486556e-7) * x2)"
27,3.1709796e-14,"((((x1 * 9.150353e-9) + (((x1 * -1.0) / x5) + -2.4798072e-7)) * x2) - ((x1 * x0) / x3)) - (((x0 / x4) + -2.496259e-7) * x2)"
29,3.1680415e-14,"(((((x1 * 1.09313305e-8) / x4) + (((x1 * -1.0) / x5) + -2.485918e-7)) * x2) - ((x1 * x0) / x3)) - (((x0 / x4) + -2.484854e-7) * x2)"
31,3.157313e-14,"(((((0.04287779 / x4) / (x4 / -2.486556e-7)) + (((x1 / x5) * -1.0) + -2.486556e-7)) * x2) - ((x1 * x0) / x3)) - (((x0 / x4) + -2.486556e-7) * x2)"
35,3.1554678e-14,"((((((x2 * -0.63465655) * ((-0.040581025 / x4) / (x4 / -2.486556e-7))) + (x1 / (x5 * -1.0))) + -2.486556e-7) * x2) - ((x1 * x0) / x3)) - (((x0 / x4) + -2.486556e-7) * x2)"
